record_key,area_code,area_description,content,source,institution,academic_year
cal_getc_overview,ALL,Cal-GETC overview,"Antelope Valley College general-education planning for Fall 2025 and later uses Cal-GETC, the unified California General Education Transfer Curriculum. The published certification data contains these areas: Area 1A English Composition; Area 1B Critical Thinking and Composition; Area 1C Oral Communication; Area 2 Mathematical Concepts and Quantitative Reasoning; Area 3A Arts; Area 3B Humanities; Area 4 Social and Behavioral Sciences; Area 5A Physical Science; Area 5B Biological Science; Area 5C Laboratory; Area 6 Ethnic Studies. A transfer plan must consider Cal-GETC in addition to ASSIST major preparation. The area records contain the AVC-certified options. Do not assume that one course can satisfy multiple areas, or that completing one course in every listed code is by itself a certification; verify the official completion, double-counting, campus, and local graduation rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_1a,1A,English Composition,"Cal-GETC Area 1A: English Composition. AVC-certified course options for 2025-26 are: ENGLC1000 (Academic Reading and Writing, 3 units); ENGLC1000H (Academic Reading and Writing - Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_1b,1B,Critical Thinking and Composition,"Cal-GETC Area 1B: Critical Thinking and Composition. AVC-certified course options for 2025-26 are: PHIL201 (Critical Thinking, 3 units); ENGLC1001 (Critical Thinking and Writing, 3 units); ENGLC1001H (Critical Thinking and Writing - Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_1c,1C,Oral Communication,"Cal-GETC Area 1C: Oral Communication. AVC-certified course options for 2025-26 are: COMMC1000 (Introduction to Public Speaking, 3 units); COMMC1000H (Introduction to Public Speaking - Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_2,2,Mathematical Concepts and Quantitative Reasoning,"Cal-GETC Area 2: Mathematical Concepts and Quantitative Reasoning. AVC-certified course options for 2025-26 are: MATH150 (Calculus and Analytic Geometry, 5 units); MATH230 (Introduction to Ordinary Differential Equations, 4 units); MATH220 (Linear Algebra, 4 units); STATC1000 (Introduction to Statistics, 4 units); MATH148 (Calculus for Business & Economics, 4 units); MATH124 (Finite Math, 4 units); MATH250 (Calculus and Analytic Geometry, 4 units); MATH160 (Calculus and Analytic Geometry, 4 units); MATH128 (College Algebra for Liberal Arts, 3 units); MATH116 (Introduction to Statistics Using R, 4 units); MATH110 (Mathematics for Liberal Arts Students, 3 units); MATH140 (Precalculus , 4 units); STATC1000H (Introduction to Statistics - Honors, 4 units); MATH150H (Calculus & Analytic Geometry Honors, 5 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_3a,3A,Arts,"Cal-GETC Area 3A: Arts. AVC-certified course options for 2025-26 are: FTV201 (Intercultural and Women's Film, 3 units); MUS101 (Music Appreciation, 3 units); ART100 (Art Appreciation, 3 units); MUS105 (World Music, 3 units); THA110 (Fundamentals of Acting, 3 units); DA113 (World Dance - Ethnic Forms, 3 units); DA101 (Dance Appreciation, 3 units); ART102 (History of Art, Renaissance to Modern, 3 units); ART101 (History of Art, Prehistoric to Gothic, 3 units); FTV101 (Introduction to Film, 3 units); ART104 (History of Modern and Contemporary Art in the 20th Century, 3 units); MUSC107 (History of Women in Rock Music, 3 units); MUSC103 (History of Rock 'n Roll, 3 units); MUSC102 (History of Jazz, 3 units); FTV107 (History of Film, Pre 1950, 3 units); FTV108 (History of Film, 1950-Present, 3 units); THA101 (Introduction to Theatre, 3 units); THA225 (Script Analysis, 3 units); ART106 (History of Art: Asia, 3 units); MUSC108 (History of Hip Hop , 3 units); ENGL235 (Shakespeare and Culture , 3 units); FTV203 (African-American Cinema, 3 units); ART103 (History of Art: Africa, Oceania, and Indigenous North America, 3 units); THA111 (Theatre History I, 3 units); MUSC109 (History of Motown Music, 3 units); MUS106 (African American Music, 3 units); MUS110 (Music of Latin America, 3 units); MUS101H (Music Appreciation Honors, 3 units); THA101H (Introduction to Theatre Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_3b,3B,Humanities,"Cal-GETC Area 3B: Humanities. AVC-certified course options for 2025-26 are: FTV201 (Intercultural and Women's Film, 3 units); COMM217 (Gender and Communication, 3 units); COMM114 (The Art of Storytelling, 3 units); PHIL105 (Ethics: Moral Issues in Contemporary Society, 3 units); PHIL108 (Philosophy of Religion, 3 units); PHIL106 (Introduction to Philosophy, 3 units); HIST115 (Cultural History of Mexico, 3 units); HIST119 (History of Latin America and the Caribbean, 3 units); HIST113 (Women in American History, 3 units); FREN203 (Advanced French, 3 units); THA239 (Intercultural and Women's Theatre, 3 units); ENGL225 (English Literature, 800-1750, 3 units); GER102 (Elementary German 2, 5 units); PHOT107 (History of Photography, 3 units); HIST104 (Introduction to World Civilizations, from Human Beginnings Until 1500, 3 units); HIST105 (Introduction to World Civilizations, 1500 - Present, 3 units); LATN102 (Elementary Latin 2, 5 units); CHIN102 (Elementary Chinese 2, 5 units); FREN201 (Intermediate French 1, 5 units); FREN202 (Intermediate French 2, 5 units); FREN102 (Elementary French 2, 5 units); FTV251 (Contemporary American Independent Film, 4 units); ENGL221 (American Literature: 1400-1865, 3 units); ENGL222 (American Literature: 1865-Present, 3 units); ENGL259 (Gender, Image and Rhetoric, 3 units); SPAN201 (Intermediate Spanish 1, 5 units); SPAN202 (Intermediate Spanish 2, 5 units); PHIL109 (World Religions, 3 units); ENGL227 (English Literature, 1750-Present, 3 units); ENGL230 (World Literature 1, 3 units); ENGL231 (World Literature 2, 3 units); ENGL253 (African American Literature, 3 units); LATN201 (Intermediate Latin, 5 units); GER202 (Intermediate German 2, 4 units); GER201 (Intermediate German 1, 4 units); SPAN220SS (Composition and Conversation for Spanish Speakers, 5 units); SPAN210SS (Spanish for Heritage Speakers II, 5 units); SPAN110SS (Spanish for Heritage Speakers I, 5 units); SPAN203 (Introduction to Hispanic Literature, 3 units); ENGL265 (Film: Text and Context, 3 units); ENGL256 (Latinx Literature, 3 units); ENGL242 (Narrative and Culture, 3 units); ENGL235 (Shakespeare and Culture , 3 units); ENGL279 (Science Fiction and Dystopian Literature, 3 units); FTV203 (African-American Cinema, 3 units); ENGL257 (Ethnic Studies: Native American Studies in Literature, 3 units); ETHN257EN (Ethnic Studies: Native American Studies in Literature, 3 units); PHIL130 (History of Ancient and Medieval Philosophy, 3 units); PHIL140 (History of Modern Philosophy, 3 units); THA239H (Intercultural and Women's Theatre Honors, 3 units); ENGL253H (African American Literature Honors, 3 units); PHIL105H (Ethics: Moral Issues in Society Honors, 3 units); HIST111H (African-American History, 1877-Present Honors, 3 units); HIST110H (African-American History, 1450-1877 Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_4,4,Social and Behavioral Sciences,"Cal-GETC Area 4: Social and Behavioral Sciences. AVC-certified course options for 2025-26 are: PSYCC1000 (Introduction to Psychology, 3 units); POLSC1000 (American Government and Politics, 3 units); ECON101 (Principles of Macroeconomics, 3 units); ECON102 (Principles of Microeconomics, 3 units); HIST107 (U.S. History, 1607-1877, 3 units); SOC101 (Introduction to Sociology, 3 units); ANTH102 (Introduction to Cultural Anthropology, 3 units); ANTH140 (Introduction to Archaeology, 4 units); ECON110 (Economics of the Underclass, 3 units); HIST119 (History of Latin America and the Caribbean, 3 units); HIST114 (History of California, 3 units); HIST113 (Women in American History, 3 units); PSY235 (Child Psychology, 3 units); PSY212 (Human Sexuality, 3 units); PSY201 (Introduction to Physiological Psychology, 3 units); POLS203 (The Judicial Process, 3 units); POLS201 (Contemporary International Relations, 3 units); POLS103 (Comparative Government, 3 units); AJ206 (Criminology, 3 units); PSY230 (Social Psychology, 3 units); PSY232 (Theories of Personality, 3 units); PSY233 (Personal and Social Adjustment, 3 units); DFST106 (Introduction to Deaf Education, 3 units); GEOG105 (Cultural Geography, 3 units); SOC105 (The Mexican American in Contemporary Society, 3 units); SOC115 (Marriage and Family Life, 3 units); SOC110 (Ethnic Relations, 3 units); SOC112 (American Social Issues: Problems and Challenges, 3 units); GEOG106 (California Geography, 3 units); PSY234 (Abnormal Psychology, 3 units); HIST110 (African American History, 1450-1877, 3 units); HIST111 (African American History, 1877-Present, 3 units); HIST104 (Introduction to World Civilizations, from Human Beginnings Until 1500, 3 units); HIST105 (Introduction to World Civilizations, 1500 - Present, 3 units); HIST118 (American West History, 1806-Present, 3 units); PSY236 (Developmental Psychology, 3 units); CFE103 (The Child in Family and Community Relationships, 3 units); POLS200 (Introduction to Political Theory, 3 units); ECON100 (Survey of Economics, 3 units); PSY200 (Introduction to Research Methods in Psychology, 3 units); GEOG110 (World Regional Geography, 3 units); SOC116 (Sociology of Gender and Sexuality, 3 units); HIST108 (U.S. History from 1865, 3 units); SOC111 (Issues and Concepts in Aging, 3 units); SOC120 (Drugs, Society and Human Behavior, 3 units); HIST116 (Contemporary U.S. History: From Vietnam to Iraq, 3 units); ANTH103 (Archaeology and World Prehistory, 3 units); POLS202 (Ethnic Politics in America, 3 units); DFST105 (Introduction to American Deaf Culture, 3 units); BUS212 (Women and Minorities in Business, 3 units); CFE102 (The Developing Child - Child Growth and Development, 3 units); SOC200 (Research Methods for the Social Sciences, 3 units); DFST110 (Power, Privilege, and Oppression, 3 units); ANTH112 (Native North Americans, 3 units); ANTH112H (Native North Americans Honors, 3 units); POLSC1000H (American Government and Politics - Honors, 3 units); PSYCC1000H (Introduction to Psychology - Honors, 3 units); HIST108H (U.S. History from 1865 Honors, 3 units); HIST107H (U.S. History from 1607-1877 Honors, 3 units); SOC101H (Introduction to Sociology - Honors, 3 units); ANTH110 (Latin American & Caribbean Cultures, 3 units); HIST111H (African-American History, 1877-Present Honors, 3 units); HIST110H (African-American History, 1450-1877 Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_5a,5A,Physical Science,"Cal-GETC Area 5A: Physical Science. AVC-certified course options for 2025-26 are: ASTR101 (Astronomy, 3 units); GEOL102 (Historical Geology, 3 units); GEOL101 (Physical Geology, 3 units); PSCI101 (Physical Science, 4 units); PHYS102 (Introductory Physics, 4 units); PHYS101 (Introductory Physics, 4 units); GEOG102 (Physical Geography: Earth's Weather and Climate, 3 units); GEOG101 (Physical Geography: Earth's Surface Landscapes, 3 units); CHEM110 (General Chemistry , 5 units); CHEM120 (General Chemistry , 5 units); CHEM101 (Introductory Chemistry , 5 units); PHYS211 (General Physics, 5 units); CHEM102 (Introductory Chemistry (Organic & Biochemistry) , 4 units); PHYS110 (General Physics, 4 units); PHYS120 (General Physics, 4 units); ERSC101 (Introduction to Earth Science, 4 units); CHEM210 (Organic Chemistry, 5 units); CHEM220 (Organic Chemistry, 5 units); GEOL101H (Physical Geology Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
cal_getc_5b,5B,Biological Science,"Cal-GETC Area 5B: Biological Science. AVC-certified course options for 2025-26 are: BIOL104 (Environmental Biology, 3 units); BIOL204 (General Microbiology, 5 units); BIOL201 (General Human Anatomy, 4 units); BIOL202 (General Human Physiology, 4 units); BIOL103 (Introduction to Botany , 4 units); BIOL120 (General Organismal, Ecological and Evolutionary Biology, 5 units); BIOL110 (General Molecular Cell Biology, 5 units); BIOL102 (Human Biology , 4 units); BIOL101 (General Biology, 3 units); BIOL205 (Introduction to Biotechnology, 3 units); ANTH101 (Introduction to Biological Anthropology, 3 units); ANTH101H (Biological Anthropology Honors, 3 units); BIOL104H (Environmental Biology Honors, 3 units). These are alternatives certified for this area, not a direction to take every listed course. Confirm selection and all Cal-GETC completion rules with an AVC counselor.",cal_getc_certification,avc,2025-26
